  Index      Label (Miss) :  Q1 Q2 Q3
109  SASA1-5    (0)   :  0.017 0.005 0.978 
110  SASA1-6    (0)   :  0.015 0.005 0.980 
111  SASA1-9    (0)   :  0.015 0.005 0.980 
112  SASA2-1    (0)   :  0.016 0.005 0.979 
113 SASA2-10    (0)   :  0.015 0.005 0.981 
114 SASA2-11    (0)   :  0.013 0.005 0.983 
115 SASA2-12    (0)   :  0.015 0.005 0.981 
116 SASA2-13    (0)   :  0.017 0.005 0.979 
117 SASA2-14    (0)   :  0.015 0.005 0.980 
118 SASA2-15    (0)   :  0.014 0.005 0.982 
119 SASA2-16    (0)   :  0.016 0.005 0.979 
120 SASA2-17    (0)   :  0.015 0.005 0.981 
121 SASA2-19    (0)   :  0.016 0.005 0.979 
122 SASA2-20    (0)   :  0.015 0.005 0.980 
123 SASA2-21    (0)   :  0.015 0.005 0.980 
124 SASA2-22    (0)   :  0.016 0.005 0.980 
125 SASA2-23    (0)   :  0.014 0.005 0.981 
126 SASA2-24    (0)   :  0.017 0.005 0.979 
127  SASA2-3    (0)   :  0.013 0.006 0.981 
128  SASA2-5    (0)   :  0.008 0.014 0.978 
129  SASA2-6    (0)   :  0.015 0.005 0.981 
130  SASA2-8    (0)   :  0.015 0.005 0.980 
131  SASA2-9    (0)   :  0.016 0.005 0.980 
132   SFSF02    (0)   :  0.976 0.009 0.015 
133   SFSF03    (0)   :  0.283 0.684 0.034 
134   SFSF04    (0)   :  0.974 0.010 0.015 
135   SFSF05    (0)   :  0.974 0.010 0.016 
136   SFSF06    (0)   :  0.976 0.009 0.015 
137   SFSF07    (0)   :  0.015 0.005 0.980 
138   SFSF08    (0)   :  0.976 0.008 0.016 
139   SFSF09    (0)   :  0.976 0.009 0.015 
140   SFSF10    (0)   :  0.292 0.672 0.036 
141   SFSF11    (0)   :  0.975 0.010 0.015 
142   SFSF12    (0)   :  0.974 0.011 0.015 
143   SFSF13    (0)   :  0.974 0.011 0.016 
144   SFSF14    (0)   :  0.974 0.010 0.016 
145   SFSF15    (0)   :  0.977 0.008 0.015 
146   SFSF16    (0)   :  0.974 0.011 0.015 
147   SFSF17    (0)   :  0.976 0.009 0.015 
148   SFSF18    (0)   :  0.974 0.009 0.016 
149   SFSF19    (0)   :  0.976 0.010 0.014 
150   SFSF20    (0)   :  0.974 0.011 0.015 
